ID	Cancer_type_mapped	Drug_curated	Association	Evidence_mapped
FAM131B--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25040262, 15630448, 21424530)	Responsive	Clinical_trial
GTF2I--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 28448514)	Responsive	Clinical_trial
GTF2I--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 28448514)	Responsive	Clinical_trial
GTF2I--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 28448514)	Responsive	Clinical_trial
GTF2I--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 28448514)	Responsive	Clinical_trial
GTF2I--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 28448514)	Responsive	Clinical_trial
GTF2I--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 28448514)	Responsive	Clinical_trial
GTF2I--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 28448514)	Responsive	Clinical_trial
GTF2I--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 28448514)	Responsive	Clinical_trial
GTF2I--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 28448514)	Responsive	Clinical_trial
JAK2--BRAF	Acute lymphoblastic leukemia	Ruxolitinib(22875628;22899477)	Responsive	Pre_clinical
JAK2--BRAF	Acute lymphoblastic leukemia	Ruxolitinib(22875628;22899477)	Responsive	Pre_clinical
JAK2--BRAF	Acute lymphoblastic leukemia	Ruxolitinib(22875628;22899477)	Responsive	Pre_clinical
JAK2--BRAF	Acute lymphoblastic leukemia	Ruxolitinib(22875628;22899477)	Responsive	Pre_clinical
JAK2--BRAF	Acute lymphoblastic leukemia	Ruxolitinib(22875628;22899477)	Responsive	Pre_clinical
JAK2--BRAF	Acute lymphoblastic leukemia	Ruxolitinib(22875628;22899477)	Responsive	Pre_clinical
JAK2--BRAF	Acute lymphoblastic leukemia	Ruxolitinib(22875628;22899477)	Responsive	Pre_clinical
JAK2--BRAF	Acute lymphoblastic leukemia	Ruxolitinib(22875628;22899477)	Responsive	Pre_clinical
JAK2--BRAF	Acute lymphoblastic leukemia	Ruxolitinib(22875628;22899477)	Responsive	Pre_clinical
KIAA1549--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 23533272, 24345920, 26072686)	Responsive	Clinical_trial
KIAA1549--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 23533272, 24345920, 26072686)	Responsive	Clinical_trial
KIAA1549--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 23533272, 24345920, 26072686)	Responsive	Clinical_trial
KIAA1549--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 23533272, 24345920, 26072686)	Responsive	Clinical_trial
KIAA1549--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 23533272, 24345920, 26072686)	Responsive	Clinical_trial
KIAA1549--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 23533272, 24345920, 26072686)	Responsive	Clinical_trial
KIAA1549--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 23533272, 24345920, 26072686)	Responsive	Clinical_trial
KIAA1549--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 23533272, 24345920, 26072686)	Responsive	Clinical_trial
KIAA1549--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 23533272, 24345920, 26072686)	Responsive	Clinical_trial
MKRN1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 26314551, 15630448, 26324360, 23817572)	Responsive	Clinical_trial
MKRN1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 26314551, 15630448, 26324360, 23817572)	Responsive	Clinical_trial
MKRN1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 26314551, 15630448, 26324360, 23817572)	Responsive	Clinical_trial
MKRN1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 26314551, 15630448, 26324360, 23817572)	Responsive	Clinical_trial
MKRN1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 26314551, 15630448, 26324360, 23817572)	Responsive	Clinical_trial
MKRN1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 26314551, 15630448, 26324360, 23817572)	Responsive	Clinical_trial
MKRN1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 26314551, 15630448, 26324360, 23817572)	Responsive	Clinical_trial
MKRN1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 26314551, 15630448, 26324360, 23817572)	Responsive	Clinical_trial
MKRN1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 26314551, 15630448, 26324360, 23817572)	Responsive	Clinical_trial
PAPSS1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448, 24345920)	Responsive	Clinical_trial
PAPSS1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448, 24345920)	Responsive	Clinical_trial
PAPSS1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448, 24345920)	Responsive	Clinical_trial
PAPSS1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448, 24345920)	Responsive	Clinical_trial
PAPSS1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448, 24345920)	Responsive	Clinical_trial
PAPSS1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448, 24345920)	Responsive	Clinical_trial
PAPSS1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448, 24345920)	Responsive	Clinical_trial
PAPSS1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448, 24345920)	Responsive	Clinical_trial
PAPSS1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448, 24345920)	Responsive	Clinical_trial
PCBP2--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 26343582, 22745804, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
PCBP2--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 26343582, 22745804, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
PCBP2--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 26343582, 22745804, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
PCBP2--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 26343582, 22745804, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
PCBP2--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 26343582, 22745804, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
PCBP2--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 26343582, 22745804, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
PCBP2--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 26343582, 22745804, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
PCBP2--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 26343582, 22745804, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
PCBP2--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(18974108, 26343582, 22745804, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
PPFIBP2--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26072686)	Responsive	Clinical_trial
PPFIBP2--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26072686)	Responsive	Clinical_trial
PPFIBP2--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26072686)	Responsive	Clinical_trial
PPFIBP2--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26072686)	Responsive	Clinical_trial
PPFIBP2--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26072686)	Responsive	Clinical_trial
PPFIBP2--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26072686)	Responsive	Clinical_trial
PPFIBP2--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26072686)	Responsive	Clinical_trial
PPFIBP2--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26072686)	Responsive	Clinical_trial
PPFIBP2--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26072686)	Responsive	Clinical_trial
SND1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25266736, 25985019, 22745804, 24345920)	Responsive	Clinical_trial
SND1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25266736, 25985019, 22745804, 24345920)	Responsive	Clinical_trial
SND1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25266736, 25985019, 22745804, 24345920)	Responsive	Clinical_trial
SND1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25266736, 25985019, 22745804, 24345920)	Responsive	Clinical_trial
SND1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25266736, 25985019, 22745804, 24345920)	Responsive	Clinical_trial
SND1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25266736, 25985019, 22745804, 24345920)	Responsive	Clinical_trial
SND1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25266736, 25985019, 22745804, 24345920)	Responsive	Clinical_trial
SND1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25266736, 25985019, 22745804, 24345920)	Responsive	Clinical_trial
SND1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25266736, 25985019, 22745804, 24345920)	Responsive	Clinical_trial
TRIM24--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448, 24345920)	Responsive	Clinical_trial
TRIM24--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448, 24345920)	Responsive	Clinical_trial
TRIM24--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448, 24345920)	Responsive	Clinical_trial
TRIM24--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448, 24345920)	Responsive	Clinical_trial
TRIM24--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448, 24345920)	Responsive	Clinical_trial
TRIM24--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448, 24345920)	Responsive	Clinical_trial
TRIM24--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448, 24345920)	Responsive	Clinical_trial
TRIM24--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448, 24345920)	Responsive	Clinical_trial
TRIM24--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448, 24345920)	Responsive	Clinical_trial
ZKSCAN1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551)	Responsive	Clinical_trial
ZKSCAN1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551)	Responsive	Clinical_trial
ZKSCAN1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551)	Responsive	Clinical_trial
ZKSCAN1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551)	Responsive	Clinical_trial
ZKSCAN1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551)	Responsive	Clinical_trial
ZKSCAN1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551)	Responsive	Clinical_trial
ZKSCAN1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551)	Responsive	Clinical_trial
ZKSCAN1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551)	Responsive	Clinical_trial
ZKSCAN1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551)	Responsive	Clinical_trial
CAD--ALK	Non-Small Cell Lung Cancer	Brigatinib	Responsive	Approved
CAD--ALK	Non-Small Cell Lung Cancer	Brigatinib	Responsive	Approved
CAD--ALK	Non-Small Cell Lung Cancer	Lorlatinib	Responsive	Approved
CAD--ALK	Non-Small Cell Lung Cancer	Lorlatinib	Responsive	Approved
CCDC6--RET	Medullary Thyroid Cancer	BLU-667(23578175, 30073261, 30257958, 30487236)	Responsive	Clinical_trial
CCDC6--RET	Medullary Thyroid Cancer	LOXO-292(23578175, 30073261, 30257958, 30487236)	Responsive	Clinical_trial
FGFR2--CCDC6	Solid tumor	AZD4547(23558953)	Responsive	Pre_clinical
FGFR2--CCDC6	Solid tumor	BGJ398(23558953)	Responsive	Pre_clinical
FGFR2--CCDC6	Solid tumor	Debio1347(23558953)	Responsive	Pre_clinical
FGFR2--CCDC6	Solid tumor	Erdafitinib(23558953)	Responsive	Pre_clinical
CDK5RAP2--PDGFRA	Gastrointestinal Stromal Tumor	Imatinib	Responsive	Approved
EGFR--RAD51	Lung Carcinoid	Erlotinib(27102076)	Responsive	Pre_clinical
EGFR--RAD51	Lung Carcinoid	Erlotinib(27102076)	Responsive	Pre_clinical
EGFR--RAD51	Lung Carcinoid	Erlotinib(27102076)	Responsive	Pre_clinical
EGFR--RAD51	Lung Carcinoid	Erlotinib(27102076)	Responsive	Pre_clinical
EGFR--RAD51	Lung Carcinoid	Erlotinib(27102076)	Responsive	Pre_clinical
EGFR--RAD51	Lung Carcinoid	Erlotinib(27102076)	Responsive	Pre_clinical
EGFR--RAD51	Lung Carcinoid	Erlotinib(27102076)	Responsive	Pre_clinical
EGFR--RAD51	Non-Small Cell Lung Cancer	Erlotinib(27102076)	Responsive	Pre_clinical
EGFR--RAD51	Non-Small Cell Lung Cancer	Erlotinib(27102076)	Responsive	Pre_clinical
EGFR--RAD51	Non-Small Cell Lung Cancer	Erlotinib(27102076)	Responsive	Pre_clinical
EGFR--RAD51	Non-Small Cell Lung Cancer	Erlotinib(27102076)	Responsive	Pre_clinical
EGFR--RAD51	Non-Small Cell Lung Cancer	Erlotinib(27102076)	Responsive	Pre_clinical
EGFR--RAD51	Non-Small Cell Lung Cancer	Erlotinib(27102076)	Responsive	Pre_clinical
EGFR--RAD51	Non-Small Cell Lung Cancer	Erlotinib(27102076)	Responsive	Pre_clinical
ERBB4--.	Lung Adenocarcinoma	Lapatinib + Afatinib(24727320)	Responsive	Pre_clinical
ESRP1--RAF1	Langerhans Cell Histiocytosis	Cobimetinib(20526349)	Responsive	Clinical_trial
FGFR2--FAM76A	Solid tumor	AZD4547(24563622)	Responsive	Pre_clinical
FGFR2--FAM76A	Solid tumor	BGJ398(24563622)	Responsive	Pre_clinical
FGFR2--FAM76A	Solid tumor	Debio1347(24563622)	Responsive	Pre_clinical
FGFR2--FAM76A	Solid tumor	Erdafitinib(24563622)	Responsive	Pre_clinical
FGFR1--.	Solid tumor	AZD4547(23558953)	Responsive	Pre_clinical
FGFR1--.	Solid tumor	AZD4547(23558953)	Responsive	Pre_clinical
FGFR1--.	Solid tumor	BGJ398(23558953)	Responsive	Pre_clinical
FGFR1--.	Solid tumor	BGJ398(23558953)	Responsive	Pre_clinical
FGFR1--.	Solid tumor	Debio1347(23558953)	Responsive	Pre_clinical
FGFR1--.	Solid tumor	Debio1347(23558953)	Responsive	Pre_clinical
FGFR1--.	Solid tumor	Erdafitinib(23558953)	Responsive	Pre_clinical
FGFR1--.	Solid tumor	Erdafitinib(23558953)	Responsive	Pre_clinical
FGFR1--TACC1	Solid tumor	AZD4547(22837387, 23558953)	Responsive	Pre_clinical
FGFR1--TACC1	Solid tumor	AZD4547(22837387, 23558953)	Responsive	Pre_clinical
FGFR1--TACC1	Solid tumor	BGJ398(22837387, 23558953)	Responsive	Pre_clinical
FGFR1--TACC1	Solid tumor	BGJ398(22837387, 23558953)	Responsive	Pre_clinical
FGFR1--TACC1	Solid tumor	Debio1347(22837387, 23558953)	Responsive	Pre_clinical
FGFR1--TACC1	Solid tumor	Debio1347(22837387, 23558953)	Responsive	Pre_clinical
FGFR1--TACC1	Solid tumor	Erdafitinib(22837387, 23558953)	Responsive	Pre_clinical
FGFR1--TACC1	Solid tumor	Erdafitinib(22837387, 23558953)	Responsive	Pre_clinical
BCR--FGFR1	Solid tumor	AZD4547(29720732, 11739186, 20226962)	Responsive	Pre_clinical
BCR--FGFR1	Solid tumor	AZD4547(29720732, 11739186, 20226962)	Responsive	Pre_clinical
BCR--FGFR1	Solid tumor	BGJ398(29720732, 11739186, 20226962)	Responsive	Pre_clinical
BCR--FGFR1	Solid tumor	BGJ398(29720732, 11739186, 20226962)	Responsive	Pre_clinical
BCR--FGFR1	Solid tumor	Debio1347(29720732, 11739186, 20226962)	Responsive	Pre_clinical
BCR--FGFR1	Solid tumor	Debio1347(29720732, 11739186, 20226962)	Responsive	Pre_clinical
BCR--FGFR1	Solid tumor	Erdafitinib(29720732, 11739186, 20226962)	Responsive	Pre_clinical
BCR--FGFR1	Solid tumor	Erdafitinib(29720732, 11739186, 20226962)	Responsive	Pre_clinical
CEP110--FGFR1	Solid tumor	AZD4547(10688839, 20226962)	Responsive	Pre_clinical
CEP110--FGFR1	Solid tumor	AZD4547(10688839, 20226962)	Responsive	Pre_clinical
CEP110--FGFR1	Solid tumor	BGJ398(10688839, 20226962)	Responsive	Pre_clinical
CEP110--FGFR1	Solid tumor	BGJ398(10688839, 20226962)	Responsive	Pre_clinical
CEP110--FGFR1	Solid tumor	Debio1347(10688839, 20226962)	Responsive	Pre_clinical
CEP110--FGFR1	Solid tumor	Debio1347(10688839, 20226962)	Responsive	Pre_clinical
CEP110--FGFR1	Solid tumor	Erdafitinib(10688839, 20226962)	Responsive	Pre_clinical
CEP110--FGFR1	Solid tumor	Erdafitinib(10688839, 20226962)	Responsive	Pre_clinical
CNTRL--FGFR1	Solid tumor	AZD4547(29720732)	Responsive	Pre_clinical
CNTRL--FGFR1	Solid tumor	AZD4547(29720732)	Responsive	Pre_clinical
CNTRL--FGFR1	Solid tumor	BGJ398(29720732)	Responsive	Pre_clinical
CNTRL--FGFR1	Solid tumor	BGJ398(29720732)	Responsive	Pre_clinical
CNTRL--FGFR1	Solid tumor	Debio1347(29720732)	Responsive	Pre_clinical
CNTRL--FGFR1	Solid tumor	Debio1347(29720732)	Responsive	Pre_clinical
CNTRL--FGFR1	Solid tumor	Erdafitinib(29720732)	Responsive	Pre_clinical
CNTRL--FGFR1	Solid tumor	Erdafitinib(29720732)	Responsive	Pre_clinical
CUX1--FGFR1	Solid tumor	AZD4547(21330321)	Responsive	Pre_clinical
CUX1--FGFR1	Solid tumor	AZD4547(21330321)	Responsive	Pre_clinical
CUX1--FGFR1	Solid tumor	BGJ398(21330321)	Responsive	Pre_clinical
CUX1--FGFR1	Solid tumor	BGJ398(21330321)	Responsive	Pre_clinical
CUX1--FGFR1	Solid tumor	Debio1347(21330321)	Responsive	Pre_clinical
CUX1--FGFR1	Solid tumor	Debio1347(21330321)	Responsive	Pre_clinical
CUX1--FGFR1	Solid tumor	Erdafitinib(21330321)	Responsive	Pre_clinical
CUX1--FGFR1	Solid tumor	Erdafitinib(21330321)	Responsive	Pre_clinical
ERLIN2--FGFR1	Solid tumor	AZD4547(23558953)	Responsive	Pre_clinical
ERLIN2--FGFR1	Solid tumor	AZD4547(23558953)	Responsive	Pre_clinical
ERLIN2--FGFR1	Solid tumor	BGJ398(23558953)	Responsive	Pre_clinical
ERLIN2--FGFR1	Solid tumor	BGJ398(23558953)	Responsive	Pre_clinical
ERLIN2--FGFR1	Solid tumor	Debio1347(23558953)	Responsive	Pre_clinical
ERLIN2--FGFR1	Solid tumor	Debio1347(23558953)	Responsive	Pre_clinical
ERLIN2--FGFR1	Solid tumor	Erdafitinib(23558953)	Responsive	Pre_clinical
ERLIN2--FGFR1	Solid tumor	Erdafitinib(23558953)	Responsive	Pre_clinical
FGFR1OP1--FGFR1	Solid tumor	AZD4547(11689702, 29720732, 16690081, 21330321, 20226962)	Responsive	Pre_clinical
FGFR1OP1--FGFR1	Solid tumor	AZD4547(11689702, 29720732, 16690081, 21330321, 20226962)	Responsive	Pre_clinical
FGFR1OP1--FGFR1	Solid tumor	BGJ398(11689702, 29720732, 16690081, 21330321, 20226962)	Responsive	Pre_clinical
FGFR1OP1--FGFR1	Solid tumor	BGJ398(11689702, 29720732, 16690081, 21330321, 20226962)	Responsive	Pre_clinical
FGFR1OP1--FGFR1	Solid tumor	Debio1347(11689702, 29720732, 16690081, 21330321, 20226962)	Responsive	Pre_clinical
FGFR1OP1--FGFR1	Solid tumor	Debio1347(11689702, 29720732, 16690081, 21330321, 20226962)	Responsive	Pre_clinical
FGFR1OP1--FGFR1	Solid tumor	Erdafitinib(11689702, 29720732, 16690081, 21330321, 20226962)	Responsive	Pre_clinical
FGFR1OP1--FGFR1	Solid tumor	Erdafitinib(11689702, 29720732, 16690081, 21330321, 20226962)	Responsive	Pre_clinical
ZMYM2--FGFR1	Solid tumor	AZD4547(29720732)	Responsive	Pre_clinical
ZMYM2--FGFR1	Solid tumor	AZD4547(29720732)	Responsive	Pre_clinical
ZMYM2--FGFR1	Solid tumor	BGJ398(29720732)	Responsive	Pre_clinical
ZMYM2--FGFR1	Solid tumor	BGJ398(29720732)	Responsive	Pre_clinical
ZMYM2--FGFR1	Solid tumor	Debio1347(29720732)	Responsive	Pre_clinical
ZMYM2--FGFR1	Solid tumor	Debio1347(29720732)	Responsive	Pre_clinical
ZMYM2--FGFR1	Solid tumor	Erdafitinib(29720732)	Responsive	Pre_clinical
ZMYM2--FGFR1	Solid tumor	Erdafitinib(29720732)	Responsive	Pre_clinical
ZNF198--FGFR1	Solid tumor	AZD4547(20226962, 10887137, 10935490)	Responsive	Pre_clinical
ZNF198--FGFR1	Solid tumor	AZD4547(20226962, 10887137, 10935490)	Responsive	Pre_clinical
ZNF198--FGFR1	Solid tumor	BGJ398(20226962, 10887137, 10935490)	Responsive	Pre_clinical
ZNF198--FGFR1	Solid tumor	BGJ398(20226962, 10887137, 10935490)	Responsive	Pre_clinical
ZNF198--FGFR1	Solid tumor	Debio1347(20226962, 10887137, 10935490)	Responsive	Pre_clinical
ZNF198--FGFR1	Solid tumor	Debio1347(20226962, 10887137, 10935490)	Responsive	Pre_clinical
ZNF198--FGFR1	Solid tumor	Erdafitinib(20226962, 10887137, 10935490)	Responsive	Pre_clinical
ZNF198--FGFR1	Solid tumor	Erdafitinib(20226962, 10887137, 10935490)	Responsive	Pre_clinical
FGFR2--.	Bladder-Urinary Tract Cancer	Erdafitinib	Responsive	Approved
FGFR2--.	Bladder-Urinary Tract Cancer	Erdafitinib	Responsive	Approved
FGFR2--.	Bladder-Urinary Tract Cancer	Erdafitinib	Responsive	Approved
FGFR2--.	Biliary Tract Cancer	FGFR inhibitors(ASCO 2016 (abstr 109))	Responsive	Clinical_trial
FGFR2--.	Biliary Tract Cancer	FGFR inhibitors(ASCO 2016 (abstr 109))	Responsive	Clinical_trial
FGFR2--.	Biliary Tract Cancer	FGFR inhibitors(ASCO 2016 (abstr 109))	Responsive	Clinical_trial
FGFR2--.	Colorectal Adenocarcinoma	FGFR inhibitors(ASCO 2017 (abstr 2500))	Responsive	Clinical_trial
FGFR2--.	Colorectal Adenocarcinoma	FGFR inhibitors(ASCO 2017 (abstr 2500))	Responsive	Clinical_trial
FGFR2--.	Colorectal Adenocarcinoma	FGFR inhibitors(ASCO 2017 (abstr 2500))	Responsive	Clinical_trial
FGFR2--.	Bladder-Urinary Tract Cancer	AZD4547(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Clinical_trial
FGFR2--.	Bladder-Urinary Tract Cancer	AZD4547(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Clinical_trial
FGFR2--.	Bladder-Urinary Tract Cancer	AZD4547(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Clinical_trial
FGFR2--.	Cholangiocarcinoma	AZD4547(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Clinical_trial
FGFR2--.	Cholangiocarcinoma	AZD4547(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Clinical_trial
FGFR2--.	Cholangiocarcinoma	AZD4547(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Clinical_trial
FGFR2--.	Bladder-Urinary Tract Cancer	BGJ398(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Clinical_trial
FGFR2--.	Bladder-Urinary Tract Cancer	BGJ398(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Clinical_trial
FGFR2--.	Bladder-Urinary Tract Cancer	BGJ398(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Clinical_trial
FGFR2--.	Cholangiocarcinoma	BGJ398(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Clinical_trial
FGFR2--.	Cholangiocarcinoma	BGJ398(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Clinical_trial
FGFR2--.	Cholangiocarcinoma	BGJ398(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Clinical_trial
FGFR2--.	Bladder-Urinary Tract Cancer	Debio1347(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Clinical_trial
FGFR2--.	Bladder-Urinary Tract Cancer	Debio1347(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Clinical_trial
FGFR2--.	Bladder-Urinary Tract Cancer	Debio1347(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Clinical_trial
FGFR2--.	Cholangiocarcinoma	Debio1347(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Clinical_trial
FGFR2--.	Cholangiocarcinoma	Debio1347(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Clinical_trial
FGFR2--.	Cholangiocarcinoma	Debio1347(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Clinical_trial
FGFR2--.	Solid tumor	AZD4547(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Pre_clinical
FGFR2--.	Solid tumor	AZD4547(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Pre_clinical
FGFR2--.	Solid tumor	AZD4547(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Pre_clinical
FGFR2--.	Solid tumor	BGJ398(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Pre_clinical
FGFR2--.	Solid tumor	BGJ398(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Pre_clinical
FGFR2--.	Solid tumor	BGJ398(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Pre_clinical
FGFR2--.	Solid tumor	Debio1347(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Pre_clinical
FGFR2--.	Solid tumor	Debio1347(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Pre_clinical
FGFR2--.	Solid tumor	Debio1347(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Pre_clinical
FGFR2--.	Solid tumor	Erdafitinib(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Pre_clinical
FGFR2--.	Solid tumor	Erdafitinib(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Pre_clinical
FGFR2--.	Solid tumor	Erdafitinib(25608663, 28430863, 29573334, 26254407, 23558953)	Responsive	Pre_clinical
FGFR2--AHCYL1	Solid tumor	AZD4547(24122810)	Responsive	Pre_clinical
FGFR2--AHCYL1	Solid tumor	AZD4547(24122810)	Responsive	Pre_clinical
FGFR2--AHCYL1	Solid tumor	AZD4547(24122810)	Responsive	Pre_clinical
FGFR2--AHCYL1	Solid tumor	BGJ398(24122810)	Responsive	Pre_clinical
FGFR2--AHCYL1	Solid tumor	BGJ398(24122810)	Responsive	Pre_clinical
FGFR2--AHCYL1	Solid tumor	BGJ398(24122810)	Responsive	Pre_clinical
FGFR2--AHCYL1	Solid tumor	Debio1347(24122810)	Responsive	Pre_clinical
FGFR2--AHCYL1	Solid tumor	Debio1347(24122810)	Responsive	Pre_clinical
FGFR2--AHCYL1	Solid tumor	Debio1347(24122810)	Responsive	Pre_clinical
FGFR2--AHCYL1	Solid tumor	Erdafitinib(24122810)	Responsive	Pre_clinical
FGFR2--AHCYL1	Solid tumor	Erdafitinib(24122810)	Responsive	Pre_clinical
FGFR2--AHCYL1	Solid tumor	Erdafitinib(24122810)	Responsive	Pre_clinical
