Any cancer	Any cancer
Any cancer/Solid tumor/Bone Cancer/Osteosarcoma/Secondary Osteosarcoma	Secondary Osteosarcoma
Any cancer/Solid tumor/Bone Cancer/Osteosarcoma/Small Cell Osteosarcoma	Small Cell Osteosarcoma
Any cancer/Solid tumor/Bone Cancer/Osteosarcoma/Telangiectatic Osteosarcoma	Telangiectatic Osteosarcoma
Any cancer/Solid tumor/Bowel Cancer/Anal Gland Adenocarcinoma	Anal Gland Adenocarcinoma
Any cancer/Solid tumor/Bowel Cancer/Anal Squamous Cell Carcinoma	Anal Squamous Cell Carcinoma
Any cancer/Solid tumor/Bowel Cancer/Anorectal Mucosal Melanoma	Anorectal Mucosal Melanoma
Any cancer/Solid tumor/Bowel Cancer/Appendiceal Adenocarcinoma	Appendiceal Adenocarcinoma
Any cancer/Solid tumor/Bowel Cancer/Appendiceal Adenocarcinoma/Colonic Type Adenocarcinoma of the Appendix	Colonic Type Adenocarcinoma of the Appendix
Any cancer/Solid tumor/Bowel Cancer/Appendiceal Adenocarcinoma/Goblet Cell Carcinoid of the Appendix	Goblet Cell Carcinoid of the Appendix
Any cancer/Solid tumor/Bowel Cancer/Appendiceal Adenocarcinoma/Mucinous Adenocarcinoma of the Appendix	Mucinous Adenocarcinoma of the Appendix
Any cancer/Solid tumor/Bowel Cancer/Appendiceal Adenocarcinoma/Signet Ring Cell Type of the Appendix	Signet Ring Cell Type of the Appendix
Any cancer/Solid tumor/Bowel Cancer	Bowel Cancer
Any cancer/Solid tumor/Bowel Cancer/Colorectal Adenocarcinoma/Colon Adenocarcinoma	Colon Adenocarcinoma
Any cancer/Solid tumor/Bowel Cancer/Colorectal Adenocarcinoma/Colon Adenocarcinoma In Situ	Colon Adenocarcinoma In Situ
Any cancer/Solid tumor/Bowel Cancer/Colorectal Adenocarcinoma	Colorectal Adenocarcinoma
Any cancer/Solid tumor/Bowel Cancer/Colorectal Adenocarcinoma/Mucinous Adenocarcinoma of the Colon and Rectum	Mucinous Adenocarcinoma of the Colon and Rectum
Any cancer/Solid tumor/Bowel Cancer/Colorectal Adenocarcinoma/Rectal Adenocarcinoma	Rectal Adenocarcinoma
Any cancer/Solid tumor/Bowel Cancer/Colorectal Adenocarcinoma/Signet Ring Cell Adenocarcinoma of the Colon and Rectum	Signet Ring Cell Adenocarcinoma of the Colon and Rectum
Any cancer/Solid tumor/Bowel Cancer/Gastrointestinal Neuroendocrine Tumors	Gastrointestinal Neuroendocrine Tumors
Any cancer/Solid tumor/Bowel Cancer/Gastrointestinal Neuroendocrine Tumors/High-Grade Neuroendocrine Carcinoma of the Colon and Rectum	High-Grade Neuroendocrine Carcinoma of the Colon and Rectum
Any cancer/Solid tumor/Bowel Cancer/Gastrointestinal Neuroendocrine Tumors/Small Bowel Well-Differentiated Neuroendocrine Tumor	Small Bowel Well-Differentiated Neuroendocrine Tumor
Any cancer/Solid tumor/Bowel Cancer/Gastrointestinal Neuroendocrine Tumors/Well-Differentiated Neuroendocrine Tumor of the Appendix	Well-Differentiated Neuroendocrine Tumor of the Appendix
Any cancer/Solid tumor/Bowel Cancer/Gastrointestinal Neuroendocrine Tumors/Well-Differentiated Neuroendocrine Tumor of the Rectum	Well-Differentiated Neuroendocrine Tumor of the Rectum
Any cancer/Solid tumor/Bowel Cancer/Medullary Carcinoma of the Colon	Medullary Carcinoma of the Colon
Any cancer/Solid tumor/Bowel Cancer/Small Bowel Cancer/Duodenal Adenocarcinoma	Duodenal Adenocarcinoma
Any cancer/Solid tumor/Bowel Cancer/Small Bowel Cancer	Small Bowel Cancer
Any cancer/Solid tumor/Bowel Cancer/Small Intestinal Carcinoma	Small Intestinal Carcinoma
Any cancer/Solid tumor/Bowel Cancer/Tubular Adenoma of the Colon	Tubular Adenoma of the Colon
Any cancer/Solid tumor/Breast Cancer/Adenomyoepithelioma of the Breast	Adenomyoepithelioma of the Breast
Any cancer/Solid tumor/Breast Cancer	Breast Cancer
Any cancer/Solid tumor/Breast Cancer/Breast Ductal Carcinoma In Situ	Breast Ductal Carcinoma In Situ
Any cancer/Solid tumor/Breast Cancer/Breast Ductal Carcinoma In Situ/Paget Disease of the Nipple	Paget Disease of the Nipple
Any cancer/Solid tumor/Breast Cancer/Breast Fibroepithelial Neoplasms	Breast Fibroepithelial Neoplasms
Any cancer/Solid tumor/Breast Cancer/Breast Fibroepithelial Neoplasms/Fibroadenoma	Fibroadenoma
Any cancer/Solid tumor/Breast Cancer/Breast Fibroepithelial Neoplasms/Phyllodes Tumor of the Breast Cancer/Benign Phyllodes Tumor of the Breast	Benign Phyllodes Tumor of the Breast
Any cancer/Solid tumor/Breast Cancer/Breast Fibroepithelial Neoplasms/Phyllodes Tumor of the Breast Cancer/Borderline Phyllodes Tumor of the Breast	Borderline Phyllodes Tumor of the Breast
Any cancer/Solid tumor/Breast Cancer/Breast Fibroepithelial Neoplasms/Phyllodes Tumor of the Breast Cancer/Malignant Phyllodes Tumor of the Breast	Malignant Phyllodes Tumor of the Breast
Any cancer/Solid tumor/Breast Cancer/Breast Fibroepithelial Neoplasms/Phyllodes Tumor of the Breast Cancer	Phyllodes Tumor of the Breast Cancer
Any cancer/Solid tumor/Breast Cancer/Breast Fibroepithelial Neoplasms/Phyllodes Tumor of the Breast	Phyllodes Tumor of the Breast
Any cancer/Solid tumor/Breast Cancer/Breast Lobular Carcinoma In Situ	Breast Lobular Carcinoma In Situ
Any cancer/Solid tumor/Breast Cancer/Breast Neoplasm, NOS	Breast Neoplasm, NOS
Any cancer/Solid tumor/Breast Cancer/Breast Sarcoma/Breast Angiosarcoma	Breast Angiosarcoma
Any cancer/Solid tumor/Breast Cancer/Breast Sarcoma	Breast Sarcoma
Any cancer/Solid tumor/Breast Cancer/Inflammatory Breast Cancer	Inflammatory Breast Cancer
Any cancer/Solid tumor/Breast Cancer/Invasive Breast Carcinoma/Adenoid Cystic Breast Cancer	Adenoid Cystic Breast Cancer
Any cancer/Solid tumor/Breast Cancer/Invasive Breast Carcinoma/Breast Carcinoma with Signet Ring	Breast Carcinoma with Signet Ring
Any cancer/Solid tumor/Breast Cancer/Invasive Breast Carcinoma/Breast Invasive Cancer, NOS	Breast Invasive Cancer, NOS
Any cancer/Solid tumor/Breast Cancer/Invasive Breast Carcinoma/Breast Invasive Carcinoma, NOS	Breast Invasive Carcinoma, NOS
Any cancer/Solid tumor/Breast Cancer/Invasive Breast Carcinoma/Breast Invasive Carcinosarcoma, NOS	Breast Invasive Carcinosarcoma, NOS
Any cancer/Solid tumor/Breast Cancer/Invasive Breast Carcinoma/Breast Invasive Ductal Carcinoma	Breast Invasive Ductal Carcinoma
Any cancer/Solid tumor/Breast Cancer/Invasive Breast Carcinoma/Breast Invasive Lobular Carcinoma	Breast Invasive Lobular Carcinoma
Any cancer/Solid tumor/Breast Cancer/Invasive Breast Carcinoma/Breast Invasive Mixed Mucinous Carcinoma	Breast Invasive Mixed Mucinous Carcinoma
Any cancer/Solid tumor/Breast Cancer/Invasive Breast Carcinoma/Breast Mixed Ductal and Lobular Carcinoma	Breast Mixed Ductal and Lobular Carcinoma
Any cancer/Solid tumor/Breast Cancer/Invasive Breast Carcinoma	Invasive Breast Carcinoma
Any cancer/Solid tumor/Breast Cancer/Invasive Breast Carcinoma/Solid Papillary Carcinoma of the Breast	Solid Papillary Carcinoma of the Breast
Any cancer/Solid tumor/Breast Cancer/Juvenile Secretory Carcinoma of the Breast	Juvenile Secretory Carcinoma of the Breast
Any cancer/Solid tumor/Breast Cancer/Metaplastic Breast Cancer/Epithelial Type Metaplastic Breast Cancer	Epithelial Type Metaplastic Breast Cancer
Any cancer/Solid tumor/Breast Cancer/Metaplastic Breast Cancer/Epithelial Type Metaplastic Breast Cancer/Metaplastic Adenocarcinoma with Spindle Cell Differentiation	Metaplastic Adenocarcinoma with Spindle Cell Differentiation
Any cancer/Solid tumor/Breast Cancer/Metaplastic Breast Cancer/Epithelial Type Metaplastic Breast Cancer/Metaplastic Adenosquamous Carcinoma	Metaplastic Adenosquamous Carcinoma
Any cancer/Solid tumor/Breast Cancer/Metaplastic Breast Cancer/Epithelial Type Metaplastic Breast Cancer/Metaplastic Squamous Cell Carcinoma	Metaplastic Squamous Cell Carcinoma
Any cancer/Solid tumor/Breast Cancer/Metaplastic Breast Cancer	Metaplastic Breast Cancer
Any cancer/Solid tumor/Breast Cancer/Metaplastic Breast Cancer/Mixed Type Metaplastic Breast Cancer/Carcinoma with Chondroid Metaplasia	Carcinoma with Chondroid Metaplasia
Any cancer/Solid tumor/Breast Cancer/Metaplastic Breast Cancer/Mixed Type Metaplastic Breast Cancer/Carcinoma with Osseous Metaplasia	Carcinoma with Osseous Metaplasia
Any cancer/Solid tumor/Breast Cancer/Metaplastic Breast Cancer/Mixed Type Metaplastic Breast Cancer/Metaplastic Carcinosarcoma	Metaplastic Carcinosarcoma
Any cancer/Solid tumor/Breast Cancer/Metaplastic Breast Cancer/Mixed Type Metaplastic Breast Cancer	Mixed Type Metaplastic Breast Cancer
Any cancer/Solid tumor/Cervical Cancer/Cervical Adenocarcinoma	Cervical Adenocarcinoma
Any cancer/Solid tumor/Cervical Cancer/Cervical Adenocarcinoma/Cervical Clear Cell Carcinoma	Cervical Clear Cell Carcinoma
Any cancer/Solid tumor/Cervical Cancer/Cervical Adenocarcinoma/Cervical Endometrioid Carcinoma	Cervical Endometrioid Carcinoma
Any cancer/Solid tumor/Cervical Cancer/Cervical Adenocarcinoma/Cervical Serous Carcinoma	Cervical Serous Carcinoma
Any cancer/Solid tumor/Cervical Cancer/Cervical Adenocarcinoma/Endocervical Adenocarcinoma	Endocervical Adenocarcinoma
Any cancer/Solid tumor/Cervical Cancer/Cervical Adenocarcinoma In Situ	Cervical Adenocarcinoma In Situ
Any cancer/Solid tumor/Cervical Cancer/Cervical Adenocarcinoma/Mesonephric Carcinoma	Mesonephric Carcinoma
Any cancer/Solid tumor/Cervical Cancer/Cervical Adenocarcinoma/Mucinous Carcinoma/Gastric Type Mucinous Carcinoma	Gastric Type Mucinous Carcinoma
Any cancer/Solid tumor/Cervical Cancer/Cervical Adenocarcinoma/Mucinous Carcinoma/Intestinal Type Mucinous Carcinoma	Intestinal Type Mucinous Carcinoma
Any cancer/Solid tumor/Cervical Cancer/Cervical Adenocarcinoma/Mucinous Carcinoma	Mucinous Carcinoma
Any cancer/Solid tumor/Cervical Cancer/Cervical Adenocarcinoma/Mucinous Carcinoma/Signet Ring Mucinous Carcinoma	Signet Ring Mucinous Carcinoma
Any cancer/Solid tumor/Cervical Cancer/Cervical Adenocarcinoma/Villoglandular Carcinoma	Villoglandular Carcinoma
Any cancer/Solid tumor/Cervical Cancer/Cervical Adenoid Basal Carcinoma	Cervical Adenoid Basal Carcinoma
Any cancer/Solid tumor/Cervical Cancer/Cervical Adenoid Cystic Carcinoma	Cervical Adenoid Cystic Carcinoma
Any cancer/Solid tumor/Cervical Cancer/Cervical Adenosquamous Carcinoma	Cervical Adenosquamous Carcinoma
Any cancer/Solid tumor/Cervical Cancer	Cervical Cancer
Any cancer/Solid tumor/Cervical Cancer/Cervical Leiomyosarcoma	Cervical Leiomyosarcoma
Any cancer/Solid tumor/Cervical Cancer/Cervical Neuroendocrine Tumor	Cervical Neuroendocrine Tumor
Any cancer/Solid tumor/Cervical Cancer/Cervical Rhabdomyosarcoma	Cervical Rhabdomyosarcoma
Any cancer/Solid tumor/Cervical Cancer/Cervical Squamous Cell Carcinoma	Cervical Squamous Cell Carcinoma
Any cancer/Solid tumor/Cervical Cancer/Glassy Cell Carcinoma of the Cervix	Glassy Cell Carcinoma of the Cervix
Any cancer/Solid tumor/Cervical Cancer/Mixed Cervical Carcinoma	Mixed Cervical Carcinoma
Any cancer/Solid tumor/Cervical Cancer/Small Cell Carcinoma of the Cervix	Small Cell Carcinoma of the Cervix
Any cancer/Solid tumor/Cervical Cancer/Villoglandular Adenocarcinoma of the Cervix	Villoglandular Adenocarcinoma of the Cervix
Any cancer/Solid tumor/CNS-Brain Cancer/Choroid Plexus Tumor/Atypical Choroid Plexus Papilloma	Atypical Choroid Plexus Papilloma
Any cancer/Solid tumor/CNS-Brain Cancer/Choroid Plexus Tumor/Choroid Plexus Carcinoma	Choroid Plexus Carcinoma
Any cancer/Solid tumor/CNS-Brain Cancer/Choroid Plexus Tumor/Choroid Plexus Papilloma	Choroid Plexus Papilloma
Any cancer/Solid tumor/CNS-Brain Cancer/Choroid Plexus Tumor	Choroid Plexus Tumor
Any cancer/Solid tumor/CNS-Brain Cancer	CNS-Brain Cancer
Any cancer/Solid tumor/CNS-Brain Cancer/Diffuse Glioma/Anaplastic Astrocytoma	Anaplastic Astrocytoma
Any cancer/Solid tumor/CNS-Brain Cancer/Diffuse Glioma/Anaplastic Oligoastrocytoma	Anaplastic Oligoastrocytoma
Any cancer/Solid tumor/CNS-Brain Cancer/Diffuse Glioma/Anaplastic Oligodendroglioma	Anaplastic Oligodendroglioma
Any cancer/Solid tumor/CNS-Brain Cancer/Diffuse Glioma/Astrocytoma	Astrocytoma
Any cancer/Solid tumor/CNS-Brain Cancer/Diffuse Glioma/Diffuse Astrocytoma	Diffuse Astrocytoma
Any cancer/Solid tumor/CNS-Brain Cancer/Diffuse Glioma	Diffuse Glioma
Any cancer/Solid tumor/CNS-Brain Cancer/Diffuse Glioma/Diffuse Intrinsic Pontine Glioma	Diffuse Intrinsic Pontine Glioma
Any cancer/Solid tumor/CNS-Brain Cancer/Diffuse Glioma/Glioblastoma	Glioblastoma
Any cancer/Solid tumor/CNS-Brain Cancer/Diffuse Glioma/Glioblastoma/Glioblastoma Multiforme	Glioblastoma Multiforme
Any cancer/Solid tumor/CNS-Brain Cancer/Diffuse Glioma/Glioblastoma/Gliosarcoma	Gliosarcoma
Any cancer/Solid tumor/CNS-Brain Cancer/Diffuse Glioma/Glioblastoma/Small Cell Glioblastoma	Small Cell Glioblastoma
Any cancer/Solid tumor/CNS-Brain Cancer/Diffuse Glioma/Glioma, NOS	Glioma, NOS
Any cancer/Solid tumor/CNS-Brain Cancer/Diffuse Glioma/High-Grade Glioma, NOS	High-Grade Glioma, NOS
Any cancer/Solid tumor/CNS-Brain Cancer/Diffuse Glioma/Oligoastrocytoma	Oligoastrocytoma
Any cancer/Solid tumor/CNS-Brain Cancer/Diffuse Glioma/Oligodendroglioma	Oligodendroglioma
Any cancer/Solid tumor/CNS-Brain Cancer/Embryonal Tumor/Atypical Teratoid	Atypical Teratoid
Any cancer/Solid tumor/CNS-Brain Cancer/Embryonal Tumor/Atypical Teratoid/Rhabdoid Tumor	Rhabdoid Tumor
Any cancer/Solid tumor/CNS-Brain Cancer/Embryonal Tumor/Desmoplastic	Desmoplastic
Any cancer/Solid tumor/CNS-Brain Cancer/Embryonal Tumor/Desmoplastic/Nodular Medulloblastoma	Nodular Medulloblastoma
Any cancer/Solid tumor/CNS-Brain Cancer/Embryonal Tumor	Embryonal Tumor
Any cancer/Solid tumor/CNS-Brain Cancer/Embryonal Tumor/Embryonal Tumor with Abundant Neuropil and True Rosettes	Embryonal Tumor with Abundant Neuropil and True Rosettes
Any cancer/Solid tumor/CNS-Brain Cancer/Embryonal Tumor/Large Cell/Anaplastic Medulloblastoma	Anaplastic Medulloblastoma
Any cancer/Solid tumor/CNS-Brain Cancer/Embryonal Tumor/Large Cell	Large Cell
Any cancer/Solid tumor/CNS-Brain Cancer/Embryonal Tumor/Medulloblastoma	Medulloblastoma
Any cancer/Solid tumor/CNS-Brain Cancer/Embryonal Tumor/Medulloblastoma with Extensive Nodularity	Medulloblastoma with Extensive Nodularity
Any cancer/Solid tumor/CNS-Brain Cancer/Embryonal Tumor/Medulloepithelioma	Medulloepithelioma
Any cancer/Solid tumor/CNS-Brain Cancer/Embryonal Tumor/Medullomyoblastoma	Medullomyoblastoma
Any cancer/Solid tumor/CNS-Brain Cancer/Embryonal Tumor/Melanotic Medulloblastoma	Melanotic Medulloblastoma
Any cancer/Solid tumor/CNS-Brain Cancer/Embryonal Tumor/Olfactory Neuroblastoma	Olfactory Neuroblastoma
Any cancer/Solid tumor/CNS-Brain Cancer/Embryonal Tumor/Primitive Neuroectodermal Tumor	Primitive Neuroectodermal Tumor
Any cancer/Solid tumor/CNS-Brain Cancer/Encapsulated Glioma/Anaplastic Ganglioglioma	Anaplastic Ganglioglioma
Any cancer/Solid tumor/CNS-Brain Cancer/Encapsulated Glioma/Anaplastic Pleomorphic Xanthoastrocytoma	Anaplastic Pleomorphic Xanthoastrocytoma
Any cancer/Solid tumor/CNS-Brain Cancer/Encapsulated Glioma/Dysembryoplastic Neuroepithelial Tumor	Dysembryoplastic Neuroepithelial Tumor
Any cancer/Solid tumor/CNS-Brain Cancer/Encapsulated Glioma	Encapsulated Glioma
Any cancer/Solid tumor/CNS-Brain Cancer/Encapsulated Glioma/Gangliocytoma	Gangliocytoma
Any cancer/Solid tumor/CNS-Brain Cancer/Encapsulated Glioma/Ganglioglioma	Ganglioglioma
Any cancer/Solid tumor/CNS-Brain Cancer/Encapsulated Glioma/Low-Grade Glioma, NOS	Low-Grade Glioma, NOS
Any cancer/Solid tumor/CNS-Brain Cancer/Encapsulated Glioma/Pilocytic Astrocytoma	Pilocytic Astrocytoma
Any cancer/Solid tumor/CNS-Brain Cancer/Encapsulated Glioma/Pilomyxoid Astrocytoma	Pilomyxoid Astrocytoma
Any cancer/Solid tumor/CNS-Brain Cancer/Encapsulated Glioma/Pleomorphic Xanthoastrocytoma	Pleomorphic Xanthoastrocytoma
Any cancer/Solid tumor/CNS-Brain Cancer/Ependymomal Tumor/Anaplastic Ependymoma	Anaplastic Ependymoma
Any cancer/Solid tumor/CNS-Brain Cancer/Ependymomal Tumor/Clear Cell Ependymoma	Clear Cell Ependymoma
Any cancer/Solid tumor/CNS-Brain Cancer/Ependymomal Tumor/Ependymoma	Ependymoma
Any cancer/Solid tumor/CNS-Brain Cancer/Ependymomal Tumor	Ependymomal Tumor
Any cancer/Solid tumor/CNS-Brain Cancer/Ependymomal Tumor/Myxopapillary Ependymoma	Myxopapillary Ependymoma
Any cancer/Solid tumor/CNS-Brain Cancer/Ependymomal Tumor/Subependymoma	Subependymoma
Any cancer/Solid tumor/CNS-Brain Cancer/Germ Cell Tumor, Brain/Choriocarcinoma	Choriocarcinoma
Any cancer/Solid tumor/CNS-Brain Cancer/Germ Cell Tumor, Brain/Embryonal Carcinoma	Embryonal Carcinoma
Any cancer/Solid tumor/CNS-Brain Cancer/Germ Cell Tumor, Brain	Germ Cell Tumor, Brain
Any cancer/Solid tumor/CNS-Brain Cancer/Germ Cell Tumor, Brain/Germinoma	Germinoma
Any cancer/Solid tumor/CNS-Brain Cancer/Germ Cell Tumor, Brain/Immature Teratoma	Immature Teratoma
Any cancer/Solid tumor/CNS-Brain Cancer/Germ Cell Tumor, Brain/Malignant Teratoma	Malignant Teratoma
Any cancer/Solid tumor/CNS-Brain Cancer/Germ Cell Tumor, Brain/Mature Teratoma	Mature Teratoma
Any cancer/Solid tumor/CNS-Brain Cancer/Germ Cell Tumor, Brain/Mixed Germ Cell Tumor	Mixed Germ Cell Tumor
Any cancer/Solid tumor/CNS-Brain Cancer/Germ Cell Tumor, Brain/Yolk Sac Tumor	Yolk Sac Tumor
Any cancer/Solid tumor/CNS-Brain Cancer/Meningothelial Tumor/Anaplastic Meningioma	Anaplastic Meningioma
Any cancer/Solid tumor/CNS-Brain Cancer/Meningothelial Tumor/Atypical Meningioma	Atypical Meningioma
Any cancer/Solid tumor/CNS-Brain Cancer/Meningothelial Tumor/Chordoid Meningioma	Chordoid Meningioma
Any cancer/Solid tumor/CNS-Brain Cancer/Meningothelial Tumor/Clear cell Meningioma	Clear cell Meningioma
Any cancer/Solid tumor/CNS-Brain Cancer/Meningothelial Tumor/Hemangiopericytoma of the Central Nervous System	Hemangiopericytoma of the Central Nervous System
Any cancer/Solid tumor/CNS-Brain Cancer/Meningothelial Tumor/Meningioma	Meningioma
Any cancer/Solid tumor/CNS-Brain Cancer/Meningothelial Tumor	Meningothelial Tumor
Any cancer/Solid tumor/CNS-Brain Cancer/Meningothelial Tumor/Papillary Meningioma	Papillary Meningioma
Any cancer/Solid tumor/CNS-Brain Cancer/Meningothelial Tumor/Rhabdoid Meningioma	Rhabdoid Meningioma
Any cancer/Solid tumor/CNS-Brain Cancer/Meningothelial Tumor/Solitary Fibrous Tumor of the Central Nervous System	Solitary Fibrous Tumor of the Central Nervous System
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Brain Tumor/Hemangioblastoma	Hemangioblastoma
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Brain Tumor/High-Grade Neuroepithelial Tumor	High-Grade Neuroepithelial Tumor
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Brain Tumor/Low-Grade Neuroepithelial Tumor	Low-Grade Neuroepithelial Tumor
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Brain Tumor/Malignant Lymphoma	Malignant Lymphoma
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Brain Tumor/Malignant Tumor	Malignant Tumor
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Brain Tumor/Mesenchymal Chondrosarcoma of the CNS	Mesenchymal Chondrosarcoma of the CNS
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Brain Tumor	Miscellaneous Brain Tumor
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Brain Tumor/Primary Brain Tumor	Primary Brain Tumor
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Brain Tumor/Primary Neuroepithelial Tumor	Primary Neuroepithelial Tumor
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Neuroepithelial Tumor/Angiocentric Glioma	Angiocentric Glioma
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Neuroepithelial Tumor/Astroblastoma	Astroblastoma
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Neuroepithelial Tumor/Central Neurocytoma	Central Neurocytoma
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Neuroepithelial Tumor/Cerebellar Liponeurocytoma	Cerebellar Liponeurocytoma
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Neuroepithelial Tumor/Chordoid Glioma of the Third Ventricle	Chordoid Glioma of the Third Ventricle
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Neuroepithelial Tumor/Desmoplastic Infantile Astrocytoma	Desmoplastic Infantile Astrocytoma
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Neuroepithelial Tumor/Desmoplastic Infantile Ganglioglioma	Desmoplastic Infantile Ganglioglioma
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Neuroepithelial Tumor/Dysplastic Gangliocytoma of the Cerebellum	Dysplastic Gangliocytoma of the Cerebellum
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Neuroepithelial Tumor/Dysplastic Gangliocytoma of the Cerebellum/Lhermitte-Duclos Disease	Lhermitte-Duclos Disease
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Neuroepithelial Tumor/Extraventricular Neurocytoma	Extraventricular Neurocytoma
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Neuroepithelial Tumor	Miscellaneous Neuroepithelial Tumor
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Neuroepithelial Tumor/Papillary Glioneuronal Tumor	Papillary Glioneuronal Tumor
Any cancer/Solid tumor/CNS-Brain Cancer/Miscellaneous Neuroepithelial Tumor/Rosette-forming Glioneuronal Tumor of the Fourth Ventricle	Rosette-forming Glioneuronal Tumor of the Fourth Ventricle
Any cancer/Solid tumor/CNS-Brain Cancer/Pineal Tumor/Papillary Tumor of the Pineal Region	Papillary Tumor of the Pineal Region
Any cancer/Solid tumor/CNS-Brain Cancer/Pineal Tumor/Pineal Parenchymal Tumor of Intermediate Differentiation	Pineal Parenchymal Tumor of Intermediate Differentiation
Any cancer/Solid tumor/CNS-Brain Cancer/Pineal Tumor	Pineal Tumor
Any cancer/Solid tumor/CNS-Brain Cancer/Pineal Tumor/Pineoblastoma	Pineoblastoma
Any cancer/Solid tumor/CNS-Brain Cancer/Pineal Tumor/Pineocytoma	Pineocytoma
Any cancer/Solid tumor/CNS-Brain Cancer/Primary CNS Melanocytic Tumors/Melanocytoma	Melanocytoma
Any cancer/Solid tumor/CNS-Brain Cancer/Primary CNS Melanocytic Tumors	Primary CNS Melanocytic Tumors
Any cancer/Solid tumor/CNS-Brain Cancer/Primary CNS Melanocytic Tumors/Primary CNS Melanoma	Primary CNS Melanoma
Any cancer/Solid tumor/CNS-Brain Cancer/Sellar Tumor/Atypical Pituitary Adenoma	Atypical Pituitary Adenoma
Any cancer/Solid tumor/CNS-Brain Cancer/Sellar Tumor/Craniopharyngioma, Adamantinomatous Type	Craniopharyngioma, Adamantinomatous Type
Any cancer/Solid tumor/CNS-Brain Cancer/Sellar Tumor/Craniopharyngioma, Papillary Type	Craniopharyngioma, Papillary Type
Any cancer/Solid tumor/CNS-Brain Cancer/Sellar Tumor/Granular Cell Tumor	Granular Cell Tumor
Any cancer/Solid tumor/CNS-Brain Cancer/Sellar Tumor/Pituicytoma	Pituicytoma
Any cancer/Solid tumor/CNS-Brain Cancer/Sellar Tumor/Pituitary Adenoma	Pituitary Adenoma
Any cancer/Solid tumor/CNS-Brain Cancer/Sellar Tumor/Pituitary Carcinoma	Pituitary Carcinoma
Any cancer/Solid tumor/CNS-Brain Cancer/Sellar Tumor	Sellar Tumor
Any cancer/Solid tumor/CNS-Brain Cancer/Sellar Tumor/Spindle Cell Oncocytoma of the Adenohypophysis	Spindle Cell Oncocytoma of the Adenohypophysis
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Esophageal Poorly Differentiated Carcinoma	Esophageal Poorly Differentiated Carcinoma
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
Any cancer/Solid tumor/Esophageal-Stomach Cancer	Esophageal-Stomach Cancer
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Esophagogastric Adenocarcinoma/Adenocarcinoma of the Gastroesophageal Junction	Adenocarcinoma of the Gastroesophageal Junction
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Esophagogastric Adenocarcinoma/Adenosquamous Carcinoma of the Stomach	Adenosquamous Carcinoma of the Stomach
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Esophagogastric Adenocarcinoma/Esophageal Adenocarcinoma	Esophageal Adenocarcinoma
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Esophagogastric Adenocarcinoma	Esophagogastric Adenocarcinoma
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Esophagogastric Adenocarcinoma/Gastric Remnant Adenocarcinoma	Gastric Remnant Adenocarcinoma
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Esophagogastric Adenocarcinoma/Small Cell Carcinoma of the Stomach	Small Cell Carcinoma of the Stomach
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Esophagogastric Adenocarcinoma/Stomach Adenocarcinoma/Diffuse Type Stomach Adenocarcinoma	Diffuse Type Stomach Adenocarcinoma
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Esophagogastric Adenocarcinoma/Stomach Adenocarcinoma/Intestinal Type Stomach Adenocarcinoma	Intestinal Type Stomach Adenocarcinoma
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Esophagogastric Adenocarcinoma/Stomach Adenocarcinoma/Mucinous Stomach Adenocarcinoma	Mucinous Stomach Adenocarcinoma
